gene,logFC,AveExpr,P.Value,adj.P.Val,B
Trp63,7.382403170699576,4.693467664866602,8.47795828896021e-13,1.4216476305800153e-09,0.0
Tceal3,4.091386377271128,2.2162874555194656,6.867490138939072e-13,1.4216476305800153e-09,0.0
Trim6,-2.832774759710771,1.6685501866384254,3.4150540152632806e-13,1.4216476305800153e-09,0.0
Smarca1,3.858891421475403,2.190780582388314,8.237550171829172e-13,1.4216476305800153e-09,0.0
Krt5,8.970319736205845,6.873446819822864,4.438277189953936e-13,1.4216476305800153e-09,0.0
Tmem200a,5.280092759953113,2.7905406058060014,4.1267385612829353e-13,1.4216476305800153e-09,0.0
Cacna2d1,7.25986009041044,4.297113263441875,2.276082008028463e-13,1.4216476305800153e-09,0.0
Btn2a2,-2.2498300652341023,1.2375773703346715,7.717573718216021e-13,1.4216476305800153e-09,0.0
Trp73,3.442133622049915,1.8010696817993035,1.8181066295685711e-12,2.70998893729582e-09,0.0
Irx4,6.550130799787281,3.627744738658034,2.300488878036905e-12,3.086105829886508e-09,0.0
Spem1,2.2260033220249946,1.1954349917017157,2.6126449788055576e-12,3.186239308243323e-09,0.0
Chst3,2.8731064449847867,1.6704329205457287,3.8724245012703725e-12,4.101350381710475e-09,0.0
Sorcs1,5.713921397153026,3.1343055774034188,3.974472975194646e-12,4.101350381710475e-09,0.0
St8sia2,2.7350959130614836,1.4896162496237162,5.143102808173427e-12,4.622691886799855e-09,0.0
Fkbp7,3.0280364877928743,2.420753206628601,5.737030294052359e-12,4.622691886799855e-09,0.0
Sdk2,6.051417392071178,3.301573885027656,5.858051589683007e-12,4.622691886799855e-09,0.0
Cdh10,3.276300800404959,1.6795835446144425,5.534762666877213e-12,4.622691886799855e-09,0.0
Aff3,3.6891775800414655,1.9578515076537435,7.542116655219724e-12,5.3039079772899584e-09,0.0
Col5a1,5.09242863979046,4.307429410265756,7.907428963533296e-12,5.3039079772899584e-09,0.0
Cdh3,6.936747045108276,5.180371150442151,7.665641602114361e-12,5.3039079772899584e-09,0.0
Tro,5.257746240169805,2.788011333552925,8.342705144317334e-12,5.329399500524621e-09,0.0
Pla2g7,5.246069641762542,3.050965959381303,9.32122789496324e-12,5.43670748743182e-09,0.0
Moxd1,6.6697846314174045,4.187017824428655,9.313120683760355e-12,5.43670748743182e-09,0.0
Slc8a1,4.84571903358588,2.7165361397129537,1.0898100127682788e-11,5.678510626128851e-09,0.0
Sobp,5.971860182959208,3.1509892468543437,1.1200797256621976e-11,5.678510626128851e-09,0.0
Col17a1,7.707264707926571,6.222937121064212,1.1428981506185535e-11,5.678510626128851e-09,0.0
Clip3,4.970633628741921,2.8324551170425423,1.1232215161346968e-11,5.678510626128851e-09,0.0
Cap2,3.472088730236502,1.8772452667313628,1.2392826353896231e-11,5.937491626339926e-09,0.0
Gm19935,3.0018278249046584,1.6039786355637087,1.288603812755324e-11,5.960903499349197e-09,0.0
Zfp365,5.154504917128999,2.807083072606019,1.9195168998753683e-11,8.583439737276022e-09,0.0
Adam19,3.1718434910967948,1.9054579854101075,2.130481995310515e-11,9.219489021642115e-09,0.0
Pcdh7,6.465818459307441,3.717366262723162,2.375771026324398e-11,9.373814211218176e-09,0.0
Rcn3,6.140766979769143,3.9371226248870124,2.371484947061661e-11,9.373814211218176e-09,0.0
Chst11,5.915841254893098,3.76911338933774,2.358370308255754e-11,9.373814211218176e-09,0.0
Irag1,6.576832452120723,3.7383286808710507,2.6978755357552402e-11,1.0340571517759014e-08,0.0
Liph,-3.896246758734393,2.578723472303283,4.1415590164744035e-11,1.5433059501667812e-08,0.0
Postn,7.944602083890637,7.996422063807227,4.579825571820279e-11,1.616798948578133e-08,0.0
Hgf,5.248519370561974,2.9204104970995055,4.5036378224511e-11,1.616798948578133e-08,0.0
Gypc,2.582822365434613,1.4364408206293398,5.7629749999713114e-11,1.982315631400388e-08,0.0
Sparc,6.498495706723838,7.673361405581066,6.02623919880615e-11,2.0210499712996128e-08,0.0
Usp13,3.245497186162281,1.6970311807155734,6.266925903237813e-11,2.0505075851691527e-08,0.0
Igsf10,5.666256911773579,3.3973738618768223,6.575806317512198e-11,2.100343851176813e-08,0.0
Igsf5,-3.2962403574094115,2.0713298589140092,6.779040998588267e-11,2.1149031394432932e-08,0.0
Scly,-1.974653600331433,4.281571785158456,7.115968643762212e-11,2.1610976721070615e-08,0.0
Tril,4.925213800460247,2.7726205651572986,7.249302664541018e-11,2.1610976721070615e-08,0.0
Nkd1,5.677268971852706,3.42514374512659,8.258938243199801e-11,2.4085577507070724e-08,0.0
Atoh8,3.3520142886344533,1.9660037936316679,9.094050744525335e-11,2.54159772370432e-08,0.0
Nexn,6.173357993133446,3.611425050343111,9.015460954742681e-11,2.54159772370432e-08,0.0
Gpx7,3.467359196690895,2.0051023825093295,9.310801602786643e-11,2.5490694592118942e-08,0.0
Aard,2.114587044076275,1.0679875028367845,1.0852755787375988e-10,2.9117943777529776e-08,0.0
Col14a1,7.8450421799337064,5.362153884358105,1.1952493345053536e-10,3.143974474978298e-08,0.0
Sh3rf3,3.5289010845762876,2.1352325495530704,1.362410165883996e-10,3.2223609674888425e-08,0.0
Abat,5.102585813361694,3.2555164619552666,1.296932916923571e-10,3.2223609674888425e-08,0.0
Il17b,6.744407990336836,3.8233657314353757,1.4333672277825515e-10,3.2223609674888425e-08,0.0
Fam13c,4.301238136900502,2.708152446794754,1.3381713916571074e-10,3.2223609674888425e-08,0.0
Col18a1,6.457909393284188,5.684032121649969,1.4190684099006973e-10,3.2223609674888425e-08,0.0
Camk4,4.960856895206037,3.004163069461135,1.4412348717803247e-10,3.2223609674888425e-08,0.0
Aatk,4.416175365515615,2.5833081318704165,1.4375800264291054e-10,3.2223609674888425e-08,0.0
Pdpn,6.666896832323957,4.015564973940102,1.4258302671830657e-10,3.2223609674888425e-08,0.0
Tmem45a,3.171705513341725,1.6597782938841803,1.334041735918036e-10,3.2223609674888425e-08,0.0
9130019P16Rik,1.5241463932359756,0.893210640479465,1.4820097384856709e-10,3.25920666258775e-08,0.0
Arl5c,3.0846300195735763,1.8224733983689119,1.6100834144475957e-10,3.376333618131593e-08,0.0
Tgfbr3,4.538530111006939,6.967444880368057,1.6098468536902748e-10,3.376333618131593e-08,0.0
6530402F18Rik,4.191857110848581,2.2475946534925155,1.6107741450646436e-10,3.376333618131593e-08,0.0
Ccdc106,3.421208803919288,2.0596766596076637,1.652128559490281e-10,3.409739173163403e-08,0.0
Tmc5,-3.8002604502459976,3.0504746962626967,1.7682545193347202e-10,3.594111269223526e-08,0.0
Hdgfl3,5.251813919410546,3.208744942121513,1.8101786050320436e-10,3.6244098487320694e-08,0.0
Wnt10a,5.672587241805532,3.123092819323224,1.8895873022522775e-10,3.7277667146638676e-08,0.0
Lrch2,3.194825503844556,1.8681453777093768,2.1583533936065173e-10,4.196276923946584e-08,0.0
Begain,4.758212210644023,2.77176649786292,2.2647661989222839e-10,4.3402626512203485e-08,0.0
Foxf1,1.827264290858214,0.9763830630452088,2.4092288123931124e-10,4.552085143416e-08,0.0
Tspoap1,4.951539200640885,3.067315375818071,2.5147200733763397e-10,4.658782663056258e-08,0.0
Vcan,5.794040801607109,4.625672520798946,2.5351556794864464e-10,4.658782663056258e-08,0.0
Ang,1.7824572987920766,0.9319127725038693,2.5840105621889566e-10,4.6843921205087644e-08,0.0
Popdc2,5.181186882146225,2.8651760806108655,2.7955642902663024e-10,5.000332660522993e-08,0.0
Snai2,5.939137007833268,3.397699292169347,3.114271444223718e-10,5.2541507668015915e-08,0.0
Ttc39a,-2.98885208482023,3.793562537071289,3.133299003683394e-10,5.2541507668015915e-08,0.0
Wfdc3,-4.388206004375412,3.1848374792718595,3.0954595080289395e-10,5.2541507668015915e-08,0.0
Dsc3,3.4602232923107286,1.8244333554580388,3.0389403413091913e-10,5.2541507668015915e-08,0.0
Sdk1,6.618781007744754,3.909100080635527,3.229128359299529e-10,5.347994683951009e-08,0.0
Eva1a,3.065062476947609,1.7588315182015677,3.3003110521962075e-10,5.3992283860014785e-08,0.0
Dll1,7.208046826385152,6.065481104668778,3.526977360011454e-10,5.700530275247429e-08,0.0
Itga9,5.748099768700412,3.732941355259605,3.6298054744416415e-10,5.778125501010743e-08,0.0
Col7a1,7.222709902907054,6.189456519687937,3.661130582079114e-10,5.778125501010743e-08,0.0
Spock2,5.844728305874115,4.080963403924022,3.778616542176e-10,5.894202431778028e-08,0.0
Jag2,6.299295881566859,5.013962482815775,4.0011944828411007e-10,6.16965792957625e-08,0.0
Cacna1c,4.337450630973072,4.399432047604962,4.2142430545758543e-10,6.424326201947169e-08,0.0
Loxl3,4.61709748154353,3.517583982230786,4.337059746688462e-10,6.537264775486036e-08,0.0
Lhfpl6,6.007334494638233,5.247132728069331,4.533495810586828e-10,6.757427366558034e-08,0.0
Rab39b,2.8190307738034086,2.0084193318897277,4.769213744775008e-10,6.946286069625192e-08,0.0
Tpm2,8.726069826694411,7.104652530674044,4.867319348078778e-10,6.946286069625192e-08,0.0
Scn7a,7.250021593453384,4.6084335959998075,4.833518224533519e-10,6.946286069625192e-08,0.0
Eya1,4.2372347623766125,2.1821475875838643,4.731628312187718e-10,6.946286069625192e-08,0.0
Ccnd2,5.803887499336964,3.7566811127665183,5.090381831206679e-10,7.072103668747968e-08,0.0
Kcnq5,5.707565791178904,2.984737054446446,5.113634408263532e-10,7.072103668747968e-08,0.0
Rtn1,6.265337253730778,3.618015209096256,5.024629847874215e-10,7.072103668747968e-08,0.0
Cttnbp2,5.24211557356531,3.0656031373607977,5.266998654852395e-10,7.137049187358068e-08,0.0
Mamdc2,4.027557151958521,2.318971345957922,5.253715940995186e-10,7.137049187358068e-08,0.0
Slc46a3,-3.157769929929957,2.6508222490600133,5.751000124709656e-10,7.711152034239711e-08,0.0
Klhdc7a,-3.4756235171170733,2.8825088828437884,5.80563813237578e-10,7.711152034239711e-08,0.0
Adamts2,4.590029465204159,3.5097658881287255,5.932742657726443e-10,7.802719877784337e-08,0.0
